Diagnosis Year,Cancer type,Gender,Stage,Age At Diagnosis,Years Since Diagnosis,Patients,Survival (%)
2015-2019,Bladder,Male,All stages combined,All ages,2,31353,63
2015-2019,Bladder,Male,All stages combined,All ages,2,31353,67
2015-2019,Bladder,Male,All stages combined,15-44,3,241,70.8
2015-2019,Bladder,Male,All stages combined,45-54,3,1132,68.5
2015-2019,Bladder,Male,All stages combined,55-64,3,3493,69.6
2015-2019,Bladder,Male,All stages combined,65-74,3,9420,64.4
2015-2019,Bladder,Male,All stages combined,75-99,3,17067,49.5
2015-2019,Bladder,Male,All stages combined,All ages,3,31353,57.1
2015-2019,Bladder,Male,All stages combined,All ages,3,31353,61.6
2015-2019,Bladder,Male,All stages combined,15-44,4,241,69
2015-2019,Bladder,Male,All stages combined,45-54,4,1132,64.5
2015-2019,Bladder,Male,All stages combined,55-64,4,3493,67.1
2015-2019,Bladder,Male,All stages combined,65-74,4,9420,61.6
2015-2019,Bladder,Male,All stages combined,75-99,4,17067,45.4
2015-2019,Bladder,Male,All stages combined,All ages,4,31353,53.5
2015-2019,Bladder,Male,All stages combined,All ages,4,31353,58.3
2015-2019,Bladder,Male,All stages combined,55-64,5,3493,64.3
2015-2019,Bladder,Male,All stages combined,65-74,5,9420,58.7
2015-2019,Bladder,Male,All stages combined,75-99,5,17067,42.7
2015-2019,Bladder,Male,All stages combined,All ages,5,31353,50.8
2015-2019,Bladder,Male,All stages combined,All ages,5,31353,55.6
2015-2019,Breast,Persons,All stages combined,15-44,1,20621,98.6
2015-2019,Breast,Persons,All stages combined,45-54,1,46015,98.8
2015-2019,Breast,Persons,All stages combined,55-64,1,47849,98.5
2015-2019,Breast,Persons,All stages combined,65-74,1,50878,97.6
2015-2019,Breast,Persons,All stages combined,75-99,1,50350,91.2
2015-2019,Breast,Persons,All stages combined,All ages,1,215713,96.7
2015-2019,Breast,Persons,All stages combined,All ages,1,215713,96.1
2015-2019,Breast,Persons,All stages combined,15-44,2,20621,95.9
2015-2019,Breast,Persons,All stages combined,45-54,2,46015,97.1
2015-2019,Breast,Persons,All stages combined,55-64,2,47849,96.9
2015-2019,Breast,Persons,All stages combined,65-74,2,50878,95.9
2015-2019,Breast,Persons,All stages combined,75-99,2,50350,85.9
2015-2019,Breast,Persons,All stages combined,All ages,2,215713,94
2015-2019,Breast,Persons,All stages combined,All ages,2,215713,93.3
2015-2019,Breast,Persons,All stages combined,15-44,3,20621,93
2015-2019,Breast,Persons,All stages combined,45-54,3,46015,95.4
2015-2019,Breast,Persons,All stages combined,55-64,3,47849,95.2
2015-2019,Breast,Persons,All stages combined,65-74,3,50878,94
2015-2019,Breast,Persons,All stages combined,75-99,3,50350,81.5
2015-2019,Breast,Persons,All stages combined,All ages,3,215713,91.5
2015-2019,Breast,Persons,All stages combined,All ages,3,215713,90.5
2015-2019,Breast,Persons,All stages combined,15-44,4,20621,90.6
2015-2019,Breast,Persons,All stages combined,45-54,4,46015,93.9
2015-2019,Breast,Persons,All stages combined,55-64,4,47849,93.8
2015-2019,Breast,Persons,All stages combined,65-74,4,50878,92.4
2015-2019,Breast,Persons,All stages combined,75-99,4,50350,77.8
2015-2019,Breast,Persons,All stages combined,All ages,4,215713,89.5
2015-2019,Breast,Persons,All stages combined,All ages,4,215713,88.3
2015-2019,Breast,Persons,All stages combined,15-44,5,20621,88.4
2015-2019,Breast,Persons,All stages combined,45-54,5,46015,92.8
2015-2019,Breast,Persons,All stages combined,55-64,5,47849,92.7
2015-2019,Breast,Persons,All stages combined,65-74,5,50878,91
2015-2019,Breast,Persons,All stages combined,75-99,5,50350,73.5
2015-2019,Breast,Persons,All stages combined,All ages,5,215713,87.5
2015-2019,Breast,Persons,All stages combined,All ages,5,215713,85.9
2015-2019,Breast,Female,All stages combined,15-44,1,3933,98.2
2015-2019,Breast,Female,All stages combined,45-54,1,7291,98.1
2015-2019,Breast,Female,All stages combined,55-64,1,7455,97.5
2015-2019,Breast,Female,All stages combined,65-74,1,6852,96.3
2015-2019,Breast,Female,All stages combined,75-99,1,7548,88.6
2015-2019,Breast,Female,All stages combined,All ages,1,33079,95.4
2015-2019,Breast,Female,All stages combined,All ages,1,33079,94.6
2015-2019,Breast,Female,All stages combined,15-44,2,3933,94.9
2015-2019,Breast,Female,All stages combined,45-54,2,7291,95.4
2015-2019,Breast,Female,All stages combined,55-64,2,7455,95.2
2015-2019,Breast,Female,All stages combined,65-74,2,6852,93.9
2015-2019,Breast,Female,All stages combined,75-99,2,7548,82.1
2015-2019,Breast,Female,All stages combined,All ages,2,33079,91.9
2015-2019,Breast,Female,All stages combined,All ages,2,33079,90.8
2015-2019,Breast,Female,All stages combined,15-44,3,3933,91.5
2015-2019,Breast,Female,All stages combined,45-54,3,7291,93.2
2015-2019,Breast,Female,All stages combined,55-64,3,7455,93
2015-2019,Breast,Female,All stages combined,65-74,3,6852,91.4
2015-2019,Breast,Female,All stages combined,75-99,3,7548,77.7
2015-2019,Breast,Female,All stages combined,All ages,3,33079,89
2015-2019,Breast,Female,All stages combined,All ages,3,33079,87.7
2015-2019,Breast,Female,All stages combined,15-44,4,3933,88.4
2015-2019,Breast,Female,All stages combined,45-54,4,7291,91.3
2015-2019,Breast,Female,All stages combined,55-64,4,7455,91.1
2015-2019,Breast,Female,All stages combined,65-74,4,6852,89.8
2015-2019,Breast,Female,All stages combined,75-99,4,7548,73.5
2015-2019,Breast,Female,All stages combined,All ages,4,33079,86.5
2015-2019,Breast,Female,All stages combined,All ages,4,33079,85.1
2015-2019,Breast,Female,All stages combined,15-44,5,3933,86.3
2015-2019,Breast,Female,All stages combined,45-54,5,7291,89.9
2015-2019,Breast,Female,All stages combined,55-64,5,7455,89.7
2015-2019,Breast,Female,All stages combined,65-74,5,6852,88.4
2015-2019,Breast,Female,All stages combined,75-99,5,7548,69.4
2015-2019,Breast,Female,All stages combined,All ages,5,33079,84.4
2015-2019,Breast,Female,All stages combined,All ages,5,33079,82.7
2015-2019,Breast,Female,All stages combined,15-44,1,4105,98.2
2015-2019,Breast,Female,All stages combined,45-54,1,8427,98.6
2015-2019,Breast,Female,All stages combined,55-64,1,8681,98.1
2015-2019,Breast,Female,All stages combined,65-74,1,8813,97
2015-2019,Breast,Female,All stages combined,75-99,1,8704,90
2015-2019,Breast,Female,All stages combined,All ages,1,38730,96.2
2015-2019,Breast,Female,All stages combined,All ages,1,38730,95.4
2015-2019,Breast,Female,All stages combined,15-44,2,4105,95
2015-2019,Breast,Female,All stages combined,45-54,2,8427,96.4
2015-2019,Breast,Female,All stages combined,55-64,2,8681,96.6
2015-2019,Breast,Female,All stages combined,65-74,2,8813,95.1
2015-2019,Breast,Female,All stages combined,75-99,2,8704,84.7
2015-2019,Breast,Female,All stages combined,All ages,2,38730,93.4
2015-2019,Breast,Female,All stages combined,All ages,2,38730,92.4
2015-2019,Breast,Female,All stages combined,15-44,3,4105,91.4
2015-2019,Breast,Female,All stages combined,45-54,3,8427,94.7
2015-2019,Breast,Female,All stages combined,55-64,3,8681,94.9
2015-2019,Breast,Female,All stages combined,65-74,3,8813,92.7
2015-2019,Breast,Female,All stages combined,75-99,3,8704,79.5
2015-2019,Breast,Female,All stages combined,All ages,3,38730,90.5
2015-2019,Breast,Female,All stages combined,All ages,3,38730,89.3
2015-2019,Breast,Female,All stages combined,15-44,4,4105,88.7
2015-2019,Breast,Female,All stages combined,45-54,4,8427,92.9
2015-2019,Breast,Female,All stages combined,55-64,4,8681,93.5
2015-2019,Breast,Female,All stages combined,65-74,4,8813,90.8
2015-2019,Breast,Female,All stages combined,75-99,4,8704,75.5
2015-2019,Breast,Female,All stages combined,All ages,4,38730,88.2
2015-2019,Breast,Female,All stages combined,All ages,4,38730,86.7
2015-2019,Breast,Female,All stages combined,15-44,5,4105,86
2015-2019,Breast,Female,All stages combined,45-54,5,8427,91.8
2015-2019,Breast,Female,All stages combined,55-64,5,8681,92.3
2015-2019,Breast,Female,All stages combined,65-74,5,8813,88.9
2015-2019,Breast,Female,All stages combined,75-99,5,8704,71.8
2015-2019,Breast,Female,All stages combined,All ages,5,38730,86.1
2015-2019,Breast,Female,All stages combined,All ages,5,38730,84.4
2015-2019,Breast,Female,All stages combined,15-44,1,4233,98.6
2015-2019,Breast,Female,All stages combined,45-54,1,9421,98.9
2015-2019,Breast,Female,All stages combined,55-64,1,9939,98.7
2015-2019,Breast,Female,All stages combined,65-74,1,10755,97.8
2015-2019,Breast,Female,All stages combined,75-99,1,10536,91.3
2015-2019,Breast,Female,All stages combined,All ages,1,44884,96.8
2015-2019,Breast,Female,All stages combined,All ages,1,44884,96.2
2015-2019,Breast,Female,All stages combined,15-44,2,4233,96.2
2015-2019,Breast,Female,All stages combined,45-54,2,9421,97.4
2015-2019,Breast,Female,All stages combined,55-64,2,9939,97.1
2015-2019,Breast,Female,All stages combined,65-74,2,10755,96.2
2015-2019,Breast,Female,All stages combined,75-99,2,10536,85.7
2015-2019,Breast,Female,All stages combined,All ages,2,44884,94.2
2015-2019,Breast,Female,All stages combined,All ages,2,44884,93.4
2015-2019,Breast,Female,All stages combined,15-44,3,4233,93.4
2015-2019,Breast,Female,All stages combined,45-54,3,9421,95.6
2015-2019,Breast,Female,All stages combined,55-64,3,9939,95.4
2015-2019,Breast,Female,All stages combined,65-74,3,10755,94.5
2015-2019,Breast,Female,All stages combined,75-99,3,10536,80.8
2015-2019,Breast,Female,All stages combined,All ages,3,44884,91.6
2015-2019,Breast,Female,All stages combined,All ages,3,44884,90.6
2015-2019,Breast,Female,All stages combined,15-44,4,4233,90.8
2015-2019,Breast,Female,All stages combined,45-54,4,9421,94.5
2015-2019,Breast,Female,All stages combined,55-64,4,9939,93.8
2015-2019,Breast,Female,All stages combined,65-74,4,10755,92.8
2015-2019,Breast,Female,All stages combined,75-99,4,10536,77.9
2015-2019,Breast,Female,All stages combined,All ages,4,44884,89.7
2015-2019,Breast,Female,All stages combined,All ages,4,44884,88.5
2015-2019,Breast,Female,All stages combined,15-44,5,4233,89.5
2015-2019,Breast,Female,All stages combined,45-54,5,9421,93.5
2015-2019,Breast,Female,All stages combined,55-64,5,9939,92.9
2015-2019,Breast,Female,All stages combined,65-74,5,10755,91.4
2015-2019,Breast,Female,All stages combined,75-99,5,10536,73.5
2015-2019,Breast,Female,All stages combined,All ages,5,44884,87.8
2015-2019,Breast,Female,All stages combined,All ages,5,44884,86.2
2015-2019,Breast,Female,All stages combined,15-44,1,4206,99
2015-2019,Breast,Female,All stages combined,45-54,1,10013,99.2
2015-2019,Breast,Female,All stages combined,55-64,1,10602,98.7
2015-2019,Breast,Female,All stages combined,65-74,1,11668,97.9
2015-2019,Breast,Female,All stages combined,75-99,1,11273,92
2015-2019,Breast,Female,All stages combined,All ages,1,47762,97
2015-2019,Breast,Female,All stages combined,All ages,1,47762,96.5
2015-2019,Breast,Female,All stages combined,15-44,2,4206,96.5
2015-2019,Breast,Female,All stages combined,45-54,2,10013,97.9
2015-2019,Breast,Female,All stages combined,55-64,2,10602,97.2
2015-2019,Breast,Female,All stages combined,65-74,2,11668,96.4
2015-2019,Breast,Female,All stages combined,75-99,2,11273,87.4
2015-2019,Breast,Female,All stages combined,All ages,2,47762,94.8
2015-2019,Breast,Female,All stages combined,All ages,2,47762,94.1
2015-2019,Breast,Female,All stages combined,15-44,3,4206,94.1
2015-2019,Breast,Female,All stages combined,45-54,3,10013,96.4
2015-2019,Breast,Female,All stages combined,55-64,3,10602,95.7
2015-2019,Breast,Female,All stages combined,65-74,3,11668,94.8
2015-2019,Breast,Female,All stages combined,75-99,3,11273,83.5
2015-2019,Breast,Female,All stages combined,All ages,3,47762,92.6
2015-2019,Breast,Female,All stages combined,All ages,3,47762,91.7
2015-2019,Breast,Female,All stages combined,15-44,4,4206,92.2
2015-2019,Breast,Female,All stages combined,45-54,4,10013,95.2
2015-2019,Breast,Female,All stages combined,55-64,4,10602,94.5
2015-2019,Breast,Female,All stages combined,65-74,4,11668,93.5
2015-2019,Breast,Female,All stages combined,75-99,4,11273,79.7
2015-2019,Breast,Female,All stages combined,All ages,4,47762,90.7
2015-2019,Breast,Female,All stages combined,All ages,4,47762,89.6
2015-2019,Breast,Female,All stages combined,15-44,5,4206,89.6
2015-2019,Breast,Female,All stages combined,45-54,5,10013,93.8
2015-2019,Breast,Female,All stages combined,55-64,5,10602,93.3
2015-2019,Breast,Female,All stages combined,65-74,5,11668,92
2015-2019,Breast,Female,All stages combined,75-99,5,11273,74.7
2015-2019,Breast,Female,All stages combined,All ages,5,47762,88.4
2015-2019,Breast,Female,All stages combined,All ages,5,47762,87
2015-2019,Breast,Female,All stages combined,15-44,1,4086,99.1
2015-2019,Breast,Female,All stages combined,45-54,1,10705,99.2
2015-2019,Breast,Female,All stages combined,55-64,1,10910,99.1
2015-2019,Breast,Female,All stages combined,65-74,1,12281,98.4
2015-2019,Breast,Female,All stages combined,75-99,1,11686,92.9
2015-2019,Breast,Female,All stages combined,All ages,1,49668,97.5
2015-2019,Breast,Female,All stages combined,All ages,1,49668,97.1
2015-2019,Breast,Female,All stages combined,15-44,2,4086,96.7
2015-2019,Breast,Female,All stages combined,45-54,2,10705,97.8
2015-2019,Breast,Female,All stages combined,55-64,2,10910,97.9
2015-2019,Breast,Female,All stages combined,65-74,2,12281,97.1
2015-2019,Breast,Female,All stages combined,75-99,2,11686,88.1
2015-2019,Breast,Female,All stages combined,All ages,2,49668,95.3
2015-2019,Breast,Female,All stages combined,All ages,2,49668,94.6
2015-2019,Breast,Female,All stages combined,15-44,3,4086,94.2
2015-2019,Breast,Female,All stages combined,45-54,3,10705,96.4
2015-2019,Breast,Female,All stages combined,55-64,3,10910,96.4
2015-2019,Breast,Female,All stages combined,65-74,3,12281,95.4
2015-2019,Breast,Female,All stages combined,75-99,3,11686,83.9
2015-2019,Breast,Female,All stages combined,All ages,3,49668,93
2015-2019,Breast,Female,All stages combined,All ages,3,49668,92.2
2015-2019,Breast,Female,All stages combined,15-44,4,4086,92.7
2015-2019,Breast,Female,All stages combined,45-54,4,10705,94.9
2015-2019,Breast,Female,All stages combined,55-64,4,10910,95.4
2015-2019,Breast,Female,All stages combined,65-74,4,12281,94
2015-2019,Breast,Female,All stages combined,75-99,4,11686,80.4
2015-2019,Breast,Female,All stages combined,All ages,4,49668,91.2
2015-2019,Breast,Female,All stages combined,All ages,4,49668,90.2
2015-2019,Breast,Female,All stages combined,15-44,5,4086,90.4
2015-2019,Breast,Female,All stages combined,45-54,5,10705,94
2015-2019,Breast,Female,All stages combined,55-64,5,10910,94.6
2015-2019,Breast,Female,All stages combined,65-74,5,12281,93
2015-2019,Breast,Female,All stages combined,75-99,5,11686,76.7
2015-2019,Breast,Female,All stages combined,All ages,5,49668,89.5
2015-2019,Breast,Female,All stages combined,All ages,5,49668,88.2
2015-2019,Breast,Female,1,15-44,1,5482,99.9
2015-2019,Breast,Female,1,45-54,1,18022,100
2015-2019,Breast,Female,1,55-64,1,23097,100.1
2015-2019,Breast,Female,1,65-74,1,24952,100.1
2015-2019,Breast,Female,1,75-99,1,13243,99.7
2015-2019,Breast,Female,1,All ages,1,84796,100
2015-2019,Breast,Female,1,All ages,1,84796,100
2015-2019,Breast,Female,1,15-44,2,5482,99.5
2015-2019,Breast,Female,1,45-54,2,18022,99.8
2015-2019,Breast,Female,1,55-64,2,23097,100
2015-2019,Breast,Female,1,65-74,2,24952,100.1
2015-2019,Breast,Female,1,75-99,2,13243,98.7
2015-2019,Breast,Female,1,All ages,2,84796,99.7
2015-2019,Breast,Female,1,All ages,2,84796,99.6
2015-2019,Breast,Female,1,15-44,3,5482,98.9
2015-2019,Breast,Female,1,45-54,3,18022,99.5
2015-2019,Breast,Female,1,55-64,3,23097,99.8
2015-2019,Breast,Female,1,65-74,3,24952,100
2015-2019,Breast,Female,1,75-99,3,13243,98.4
2015-2019,Breast,Female,1,All ages,3,84796,99.5
2015-2019,Breast,Female,1,All ages,3,84796,99.4
2015-2019,Breast,Female,1,15-44,4,5482,98.2
2015-2019,Breast,Female,1,45-54,4,18022,99.3
2015-2019,Breast,Female,1,55-64,4,23097,99.7
2015-2019,Breast,Female,1,65-74,4,24952,100
2015-2019,Breast,Female,1,75-99,4,13243,97.8
2015-2019,Breast,Female,1,All ages,4,84796,99.3
2015-2019,Breast,Female,1,All ages,4,84796,99.1
2015-2019,Breast,Female,1,15-44,5,5482,97.5
2015-2019,Breast,Female,1,45-54,5,18022,99.1
2015-2019,Breast,Female,1,55-64,5,23097,99.6
2015-2019,Breast,Female,1,65-74,5,24952,99.8
2015-2019,Breast,Female,1,75-99,5,13243,95.4
2015-2019,Breast,Female,1,All ages,5,84796,98.8
2015-2019,Breast,Female,1,All ages,5,84796,98.2
2015-2019,Breast,Female,2,15-44,1,9724,99.6
2015-2019,Breast,Female,2,45-54,1,18500,99.7
2015-2019,Breast,Female,2,55-64,1,16277,99.6
2015-2019,Breast,Female,2,65-74,1,16618,99.4
2015-2019,Breast,Female,2,75-99,1,20395,97.7
2015-2019,Breast,Female,2,All ages,1,81514,99.1
2015-2019,Breast,Female,2,All ages,1,81514,99
2015-2019,Breast,Female,2,15-44,2,9724,97.2
2015-2019,Breast,Female,2,45-54,2,18500,98.1
2015-2019,Breast,Female,2,55-64,2,16277,98.3
2015-2019,Breast,Female,2,65-74,2,16618,98.1
2015-2019,Breast,Female,2,75-99,2,20395,94.1
2015-2019,Breast,Female,2,All ages,2,81514,97.1
2015-2019,Breast,Female,2,All ages,2,81514,96.9
2015-2019,Breast,Female,2,15-44,3,9724,94.4
2015-2019,Breast,Female,2,45-54,3,18500,96.6
2015-2019,Breast,Female,2,55-64,3,16277,96.3
2015-2019,Breast,Female,2,65-74,3,16618,96.1
2015-2019,Breast,Female,2,75-99,3,20395,89.9
2015-2019,Breast,Female,2,All ages,3,81514,94.5
2015-2019,Breast,Female,2,All ages,3,81514,94.3
2015-2019,Breast,Female,2,15-44,4,9724,92.2
2015-2019,Breast,Female,2,45-54,4,18500,95.2
2015-2019,Breast,Female,2,55-64,4,16277,95
2015-2019,Breast,Female,2,65-74,4,16618,94.2
2015-2019,Breast,Female,2,75-99,4,20395,85.8
2015-2019,Breast,Female,2,All ages,4,81514,92.3
2015-2019,Breast,Female,2,All ages,4,81514,91.9
2015-2019,Breast,Female,2,15-44,5,9724,90.2
2015-2019,Breast,Female,2,45-54,5,18500,94
2015-2019,Breast,Female,2,55-64,5,16277,93.6
2015-2019,Breast,Female,2,65-74,5,16618,92.7
2015-2019,Breast,Female,2,75-99,5,20395,81.5
2015-2019,Breast,Female,2,All ages,5,81514,90.1
2015-2019,Breast,Female,2,All ages,5,81514,89.5
2015-2019,Breast,Female,3,15-44,1,2544,97.8
2015-2019,Breast,Female,3,45-54,1,4358,98.1
2015-2019,Breast,Female,3,55-64,1,3462,98
2015-2019,Breast,Female,3,65-74,1,3383,96.7
2015-2019,Breast,Female,3,75-99,1,4589,91.5
2015-2019,Breast,Female,3,All ages,1,18336,96.2
2015-2019,Breast,Female,3,All ages,1,18336,95.7
2015-2019,Breast,Female,3,15-44,2,2544,92.4
2015-2019,Breast,Female,3,45-54,2,4358,94
2015-2019,Breast,Female,3,55-64,2,3462,93.2
2015-2019,Breast,Female,3,65-74,2,3383,90.8
2015-2019,Breast,Female,3,75-99,2,4589,81.8
2015-2019,Breast,Female,3,All ages,2,18336,90
2015-2019,Breast,Female,3,All ages,2,18336,89.1
2015-2019,Breast,Female,3,15-44,3,2544,87.4
2015-2019,Breast,Female,3,45-54,3,4358,89.5
2015-2019,Breast,Female,3,55-64,3,3462,88.2
2015-2019,Breast,Female,3,65-74,3,3383,85.1
2015-2019,Breast,Female,3,75-99,3,4589,73.5
2015-2019,Breast,Female,3,All ages,3,18336,84.1
2015-2019,Breast,Female,3,All ages,3,18336,82.9
2015-2019,Breast,Female,3,15-44,4,2544,83.2
2015-2019,Breast,Female,3,45-54,4,4358,85.7
2015-2019,Breast,Female,3,55-64,4,3462,83.3
2015-2019,Breast,Female,3,65-74,4,3383,80.1
2015-2019,Breast,Female,3,75-99,4,4589,67.6
2015-2019,Breast,Female,3,All ages,4,18336,79.3
2015-2019,Breast,Female,3,All ages,4,18336,77.8
2015-2019,Breast,Female,3,15-44,5,2544,78.3
2015-2019,Breast,Female,3,45-54,5,4358,82.6
2015-2019,Breast,Female,3,55-64,5,3462,79.5
2015-2019,Breast,Female,3,65-74,5,3383,75.4
2015-2019,Breast,Female,3,75-99,5,4589,62.3
2015-2019,Breast,Female,3,All ages,5,18336,75
2015-2019,Breast,Female,3,All ages,5,18336,73.2
2015-2019,Breast,Female,4,15-44,1,875,84
2015-2019,Breast,Female,4,45-54,1,1566,80.4
2015-2019,Breast,Female,4,55-64,1,1727,73.6
2015-2019,Breast,Female,4,65-74,1,2221,67.6
2015-2019,Breast,Female,4,75-99,1,3800,53.1
2015-2019,Breast,Female,4,All ages,1,10189,66.6
2015-2019,Breast,Female,4,All ages,1,10189,66.6
2015-2019,Breast,Female,4,15-44,2,875,69.7
2015-2019,Breast,Female,4,45-54,2,1566,68.4
2015-2019,Breast,Female,4,55-64,2,1727,59.1
2015-2019,Breast,Female,4,65-74,2,2221,54.5
2015-2019,Breast,Female,4,75-99,2,3800,39
2015-2019,Breast,Female,4,All ages,2,10189,52.9
2015-2019,Breast,Female,4,All ages,2,10189,52.7
2015-2019,Breast,Female,4,15-44,3,875,58.5
2015-2019,Breast,Female,4,45-54,3,1566,58.2
2015-2019,Breast,Female,4,55-64,3,1727,48.1
2015-2019,Breast,Female,4,65-74,3,2221,40.7
2015-2019,Breast,Female,4,75-99,3,3800,29.2
2015-2019,Breast,Female,4,All ages,3,10189,41.9
2015-2019,Breast,Female,4,All ages,3,10189,41.2
2015-2019,Breast,Female,4,15-44,4,875,49.1
2015-2019,Breast,Female,4,45-54,4,1566,49.3
2015-2019,Breast,Female,4,55-64,4,1727,39.1
2015-2019,Breast,Female,4,65-74,4,2221,32.7
2015-2019,Breast,Female,4,75-99,4,3800,22
2015-2019,Breast,Female,4,All ages,4,10189,33.7
2015-2019,Breast,Female,4,All ages,4,10189,32.8
2015-2019,Breast,Female,4,15-44,5,875,43
2015-2019,Breast,Female,4,45-54,5,1566,42.5
2015-2019,Breast,Female,4,55-64,5,1727,32.5
2015-2019,Breast,Female,4,65-74,5,2221,25.8
2015-2019,Breast,Female,4,75-99,5,3800,16.2
2015-2019,Breast,Female,4,All ages,5,10189,27.3
2015-2019,Breast,Female,4,All ages,5,10189,26.2
2015-2019,Breast,Female,All stages combined,15-44,1,20563,98.6
2015-2019,Breast,Female,All stages combined,45-54,1,45857,98.8
2015-2019,Breast,Female,All stages combined,55-64,1,47587,98.5
2015-2019,Breast,Female,All stages combined,65-74,1,50369,97.6
2015-2019,Breast,Female,All stages combined,75-99,1,49747,91.2
2015-2019,Breast,Female,All stages combined,All ages,1,214123,96.7
2015-2019,Breast,Female,All stages combined,All ages,1,214123,96.1
2015-2019,Breast,Female,All stages combined,15-44,2,20563,95.9
2015-2019,Breast,Female,All stages combined,45-54,2,45857,97.1
2015-2019,Breast,Female,All stages combined,55-64,2,47587,96.9
2015-2019,Breast,Female,All stages combined,65-74,2,50369,95.9
2015-2019,Breast,Female,All stages combined,75-99,2,49747,85.9
2015-2019,Breast,Female,All stages combined,All ages,2,214123,94.1
2015-2019,Breast,Female,All stages combined,All ages,2,214123,93.3
2015-2019,Breast,Female,All stages combined,15-44,3,20563,93
2015-2019,Breast,Female,All stages combined,45-54,3,45857,95.4
2015-2019,Breast,Female,All stages combined,55-64,3,47587,95.2
2015-2019,Breast,Female,All stages combined,65-74,3,50369,94.1
2015-2019,Breast,Female,All stages combined,75-99,3,49747,81.4
2015-2019,Breast,Female,All stages combined,All ages,3,214123,91.6
2015-2019,Breast,Female,All stages combined,All ages,3,214123,90.5
2015-2019,Breast,Female,All stages combined,15-44,4,20563,90.6
2015-2019,Breast,Female,All stages combined,45-54,4,45857,93.9
2015-2019,Breast,Female,All stages combined,55-64,4,47587,93.9
2015-2019,Breast,Female,All stages combined,65-74,4,50369,92.5
2015-2019,Breast,Female,All stages combined,75-99,4,49747,77.8
2015-2019,Breast,Female,All stages combined,All ages,4,214123,89.5
2015-2019,Breast,Female,All stages combined,All ages,4,214123,88.3
2015-2019,Breast,Female,All stages combined,15-44,5,20563,88.4
2015-2019,Breast,Female,All stages combined,45-54,5,45857,92.8
2015-2019,Breast,Female,All stages combined,55-64,5,47587,92.8
2015-2019,Breast,Female,All stages combined,65-74,5,50369,91.1
2015-2019,Breast,Female,All stages combined,75-99,5,49747,73.6
2015-2019,Breast,Female,All stages combined,All ages,5,214123,87.5
2015-2019,Breast,Female,All stages combined,All ages,5,214123,86
2015-2019,Breast,Male,All stages combined,15-44,1,58,96.6
2015-2019,Breast,Male,All stages combined,45-54,1,158,98.4
2015-2019,Breast,Male,All stages combined,55-64,1,262,97.6
2015-2019,Breast,Male,All stages combined,65-74,1,509,96.1
2015-2019,Breast,Male,All stages combined,75-99,1,603,90.6
2015-2019,Breast,Male,All stages combined,All ages,1,1590,94.6
2015-2019,Breast,Male,All stages combined,All ages,1,1590,95.1
2015-2019,Breast,Male,All stages combined,15-44,2,58,95
2015-2019,Breast,Male,All stages combined,45-54,2,158,94
2015-2019,Breast,Male,All stages combined,55-64,2,262,93.4
2015-2019,Breast,Male,All stages combined,65-74,2,509,92
2015-2019,Breast,Male,All stages combined,75-99,2,603,86.8
2015-2019,Breast,Male,All stages combined,All ages,2,1590,90.6
2015-2019,Breast,Male,All stages combined,All ages,2,1590,91.2
2015-2019,Breast,Male,All stages combined,55-64,3,262,89.9
2015-2019,Breast,Male,All stages combined,65-74,3,509,90.6
2015-2019,Breast,Male,All stages combined,75-99,3,603,83.2
2015-2019,Breast,Male,All stages combined,All ages,3,1590,87.9
2015-2019,Breast,Male,All stages combined,All ages,3,1590,88.6
2015-2019,Breast,Male,All stages combined,55-64,4,262,88.5
2015-2019,Breast,Male,All stages combined,65-74,4,509,86.2
2015-2019,Breast,Male,All stages combined,75-99,4,603,76.8
2015-2019,Breast,Male,All stages combined,All ages,4,1590,84
2015-2019,Breast,Male,All stages combined,55-64,5,262,86.1
2015-2019,Breast,Male,All stages combined,65-74,5,509,82.9
2015-2019,Breast,Male,All stages combined,75-99,5,603,66.2
2015-2019,Breast,Male,All stages combined,All ages,5,1590,78.4
2015-2019,Liver,Persons,All stages combined,15-44,1,175,56.4
2015-2019,Liver,Persons,All stages combined,45-54,1,500,45.2
2015-2019,Liver,Persons,All stages combined,55-64,1,1222,45.2
2015-2019,Liver,Persons,All stages combined,65-74,1,1675,40.1
2015-2019,Liver,Persons,All stages combined,75-99,1,2069,29.4
2015-2019,Liver,Persons,All stages combined,All ages,1,5641,38.3
2015-2019,Liver,Persons,All stages combined,All ages,1,5641,39.2
2015-2019,Liver,Persons,All stages combined,15-44,2,175,50.2
2015-2019,Liver,Persons,All stages combined,45-54,2,500,31.9
2015-2019,Liver,Persons,All stages combined,55-64,2,1222,32
2015-2019,Liver,Persons,All stages combined,65-74,2,1675,26.3
2015-2019,Liver,Persons,All stages combined,75-99,2,2069,16
2015-2019,Liver,Persons,All stages combined,All ages,2,5641,25
2015-2019,Liver,Persons,All stages combined,All ages,2,5641,25.5
2015-2019,Liver,Persons,All stages combined,15-44,3,175,46.2
2015-2019,Liver,Persons,All stages combined,45-54,3,500,26.5
2015-2019,Liver,Persons,All stages combined,55-64,3,1222,25.6
2015-2019,Liver,Persons,All stages combined,65-74,3,1675,19.4
2015-2019,Liver,Persons,All stages combined,75-99,3,2069,11.2
2015-2019,Liver,Persons,All stages combined,All ages,3,5641,19.2
2015-2019,Liver,Persons,All stages combined,All ages,3,5641,19.4
